Metrics/EnvironmentSteps,Metrics/AverageReturn
100,-100.0
200,-100.0
300,-100.0
400,-100.0
500,-98.0
600,-100.0
700,-100.0
800,-100.0
900,-100.0
1000,-100.0
1100,-100.0
1200,-100.0
1300,-100.0
1400,-100.0
1500,-100.0
1600,-100.0
1700,-100.0
1800,-100.0
1900,-99.0
2000,-100.0
2100,-100.0
2200,-100.0
2300,-100.0
2400,-100.0
2500,-100.0
2600,-100.0
2700,-100.0
2800,-100.0
2900,-100.0
3000,-100.0
3100,-100.0
3200,-100.0
3300,-100.0
3400,-100.0
3500,-100.0
3600,-100.0
3700,-98.0
3800,-100.0
3900,-98.0
4000,-100.0
4100,-100.0
4200,-100.0
4300,-100.0
4400,-100.0
4500,-100.0
4600,-100.0
4700,-99.0
4800,-100.0
4900,-100.0
5000,-99.0
5100,-100.0
5200,-100.0
5300,-100.0
5400,-100.0
5500,-100.0
5600,-100.0
5700,-100.0
5800,-100.0
5900,-100.0
6000,-100.0
6100,-100.0
6200,-100.0
6300,-100.0
6400,-100.0
6500,-100.0
6600,-100.0
6700,-100.0
6800,-100.0
6900,-100.0
7000,-100.0
7100,-100.0
7200,-100.0
7300,-100.0
7400,-100.0
7500,-100.0
7600,-100.0
7700,-100.0
7800,-100.0
7900,-100.0
8000,-100.0
8100,-98.0
8200,-100.0
8300,-100.0
8400,-100.0
8500,-100.0
8600,-100.0
8700,-100.0
8800,-100.0
8900,-100.0
9000,-96.0
9100,-96.0
9200,-99.0
9300,-100.0
9400,-100.0
9500,-99.0
9600,-100.0
9700,-100.0
9800,-99.0
9900,-100.0
10000,-100.0
10100,-100.0
10200,-100.0
10300,-100.0
10400,-100.0
10500,-100.0
10600,-100.0
10700,-100.0
10800,-100.0
10900,-100.0
11000,-100.0
11100,-100.0
11200,-97.0
11300,-100.0
11400,-100.0
11500,-100.0
11600,-100.0
11700,-100.0
11800,-100.0
11900,-100.0
12000,-100.0
12100,-100.0
12200,-100.0
12300,-100.0
12400,-100.0
12500,-100.0
12600,-100.0
12700,-100.0
12800,-99.0
12900,-93.0
13000,-100.0
13100,-100.0
13200,-100.0
13300,-100.0
13400,-100.0
13500,-100.0
13600,-100.0
13700,-100.0
13800,-100.0
13900,-100.0
14000,-100.0
14100,-100.0
14200,-100.0
14300,-100.0
14400,-100.0
14500,-100.0
14600,-83.0
14700,-69.0
14800,-86.0
14900,-100.0
15000,-100.0
15100,-100.0
15200,-100.0
15300,-100.0
15400,-28.0
15500,-100.0
15600,-100.0
15700,-25.0
15800,-100.0
15900,-100.0
16000,-65.0
16100,-7.0
16200,-100.0
16300,-99.0
16400,-91.0
16500,-2.0
16600,-19.0
16700,-87.0
16800,-81.0
16900,-97.0
17000,-100.0
17100,-48.0
17200,-54.0
17300,-99.0
17400,-15.0
17500,-55.0
17600,-100.0
17700,-72.0
17800,-96.0
17900,-91.0
18000,-100.0
18100,-2.0
18200,-100.0
18300,-100.0
18400,-16.0
18500,-98.0
18600,-100.0
18700,-92.0
18800,-92.0
18900,-27.0
19000,-99.0
19100,-100.0
19200,-73.0
19300,-4.0
19400,-100.0
19500,-100.0
19600,-80.0
19700,-100.0
19800,-94.0
19900,-21.0
20000,-97.0
20100,-39.0
20200,-4.0
20300,-72.0
20400,-83.0
20500,-6.0
20600,-19.0
20700,-41.0
20800,-97.0
20900,-11.0
21000,-7.0
21100,-92.0
21200,-79.0
21300,-13.0
21400,-62.0
21500,-26.0
21600,-28.0
21700,-62.0
21800,-96.0
21900,-70.0
22000,-54.0
22100,-32.0
22200,-97.0
22300,-52.0
22400,-32.0
22500,-38.0
22600,-31.0
22700,-7.0
22800,-8.0
22900,-87.0
23000,-17.0
23100,-33.0
23200,-8.0
23300,-26.0
23400,-26.0
23500,-59.0
23600,-2.0
23700,-32.0
23800,-3.0
23900,-9.0
24000,-12.0
24100,-4.0
24200,-56.0
24300,-11.0
24400,-17.0
24500,-30.0
24600,-3.0
24700,-3.0
24800,-3.0
24900,0.0
25000,-7.0
25100,-4.0
25200,-1.0
25300,-7.0
25400,-7.0
25500,-30.0
25600,-11.0
25700,-3.0
25800,-12.0
25900,-6.0
26000,-4.0
26100,-2.0
26200,-4.0
26300,-51.0
26400,-12.0
26500,-1.0
26600,-27.0
26700,-3.0
26800,-2.0
26900,-11.0
27000,-2.0
27100,-1.0
27200,-4.0
27300,0.0
27400,-4.0
27500,-3.0
27600,-5.0
27700,-3.0
27800,-17.0
27900,-4.0
28000,-1.0
28100,0.0
28200,-3.0
28300,-2.0
28400,-7.0
28500,-3.0
28600,-1.0
28700,-1.0
28800,-9.0
28900,-6.0
29000,-2.0
29100,-7.0
29200,-17.0
29300,-2.0
